Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,fatal,EMSTransport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,pedestrian,bicycle,drug,etoh,Latitude,Longitude,Location WKT,Location,Light Condition,year,month,day,hour,day_of_week
21-005918,2021-01-18 02:00:00,2.0,18517 Interstate 24 Eastbound,,Chattanooga,Hamilton,Spring Creek Rd,,5,0,1,0,1,0,45.0,1,0,1,0,0.0,0.0,35.004152,-85.219256,POINT (-85.219256 35.004152),"(35.004152, -85.219256)",2,2021,1,18,2,0
21-009748,2021-01-29 19:44:00,19.5,E 11th St,SR-600,Chattanooga,Hamilton,Baldwin St,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0451953,-85.304933,POINT (-85.304933 35.0451953),"(35.0451953, -85.304933)",0,2021,1,29,19,4
21-009977,2021-01-30 13:45:00,14.0,5764 Highway 153,,Chattanooga,Hamilton,Hwy 153 Nb,,1,0,0,0,1,0,45.0,1,1,1,0,0.0,0.0,35.152975,-85.24562,POINT (-85.24562 35.152975),"(35.152975, -85.245620)",4,2021,1,30,13,5
21-010176,2021-01-30 22:35:00,22.5,5814 Lee Hwy,,Chattanooga,Hamilton,Chickamauga Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.021343,-85.200063,POINT (-85.200063 35.021343),"(35.021343, -85.200063)",0,2021,1,30,22,5
21-010839,2021-02-01 20:15:00,20.5,3907 Dodds Ave,,Chattanooga,Hamilton,E 40th St,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,34.997051,-85.283782,POINT (-85.283782 34.997051),"(34.997051, -85.283782)",0,2021,2,1,20,0
21-012027,2021-02-05 07:13:00,7.0,6951 Lee Hwy,,Chattanooga,Hamilton,Shallowford Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.044762,-85.164109,POINT (-85.164109 35.044762),"(35.044762, -85.164109)",0,2021,2,5,7,4
21-014454,2021-02-12 06:30:00,6.5,3600 Rossville Blvd,US-3600,Chattanooga,Hamilton,37th,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.002372,-85.291848,POINT (-85.291848 35.002372),"(35.002372, -85.291848)",3,2021,2,12,6,4
21-018780,2021-02-24 13:45:00,14.0,S Willow St,,Chattanooga,Hamilton,E 23rd St,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.018994,-85.279976,POINT (-85.279976 35.018994),"(35.018994, -85.279976)",4,2021,2,24,13,2
21-020073,2021-02-27 21:56:00,22.0,Mountain Creek Rd,SR-900,Chattanooga,Hamilton,Signal View,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.103758,-85.32436,POINT (-85.32436 35.103758),"(35.103758, -85.324360)",0,2021,2,27,21,5
21-020081,2021-02-27 22:28:00,22.5,2301 4th Ave,,Chattanooga,Hamilton,E 23rd St,,1,0,1,0,1,0,45.0,1,0,1,0,0.0,0.0,35.017689,-85.280427,POINT (-85.280427 35.017689),"(35.017689, -85.280427)",0,2021,2,27,22,5
21-022990,2021-03-08 00:55:00,1.0,4711 Brainerd Rd,,Chattanooga,Hamilton,Woodvale,,1,0,1,0,1,0,35.0,1,0,1,0,,,35.014231,-85.23045,POINT (-85.23045 35.014231),"(35.014231, -85.230450)",0,2021,3,8,0,0
21-027250,2021-03-19 14:30:00,14.5,Manufacturers Rd,SR-100,Chattanooga,Hamilton,Cherokee Blvd,1.0,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.063562,-85.310268,POINT (-85.310268 35.063562),"(35.063562, -85.310268)",4,2021,3,19,14,4
21-029022,2021-03-24 12:30:00,12.5,2020 Gunbarrel Rd,,Chattanooga,Hamilton,Goodwin Rd,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.030081,-85.153146,POINT (-85.153146 35.030081),"(35.030081, -85.153146)",4,2021,3,24,12,2
21-031354,2021-03-30 14:30:00,14.5,7804 E Brainerd Rd,,Chattanooga,Hamilton,E Brainerd Rd,,1,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.008124,-85.154777,POINT (-85.154777 35.008124),"(35.008124, -85.154777)",4,2021,3,30,14,1
21-032028,2021-04-01 09:00:00,9.0,Houston St,,Chattanooga,Hamilton,Vine St,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.04888,-85.30315,POINT (-85.30315 35.04888),"(35.048880, -85.303150)",4,2021,4,1,9,3
21-033726,2021-04-05 21:46:00,22.0,000 W Bell Ave,,Chattanooga,Hamilton,N Market St,,4,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.068284,-85.308932,POINT (-85.308932 35.068284),"(35.068284, -85.308932)",0,2021,4,5,21,0
21-034111,2021-04-06 20:30:00,20.5,3604 Brainerd Rd,,Chattanooga,Hamilton,Germantown rd,,1,0,1,0,1,0,15.0,1,0,1,0,0.0,0.0,35.023303,-85.245707,POINT (-85.245707 35.023303),"(35.023303, -85.245707)",0,2021,4,6,20,1
21-034232,2021-04-07 07:40:00,7.5,5840 Lake Resort Ter,,Chattanooga,Hamilton,Lake Resort Ter,,4,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.10906,-85.21286,POINT (-85.21286 35.10906),"(35.109060, -85.212860)",3,2021,4,7,7,2
21-036762,2021-04-13 14:00:00,14.0,3800 Chandler Ave,,Chattanooga,Hamilton,400 West 38th Street,,1,0,1,0,1,0,35.0,1,0,1,0,,,35.006719,-85.313922,POINT (-85.313922 35.006719),"(35.006719, -85.313922)",4,2021,4,13,14,1
21-037802,2021-04-16 03:58:00,4.0,,I-75,Chattanooga,Hamilton,Hwy 153 NB,,0,0,0,1,0,0,55.0,4,0,1,0,1.0,1.0,35.030023,-85.169946,POINT (-85.169946 35.030023),"(35.0300230, -85.169946)",1,2021,4,16,3,4
21-040086,2021-04-22 08:00:00,8.0,500 S Willow St,,Chattanooga,Hamilton,Bailey Ave,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.033198,-85.272756,POINT (-85.272756 35.033198),"(35.033198, -85.272756)",4,2021,4,22,8,3
21-040377,2021-04-23 00:00:00,,300 N Germantown Rd,SR-300,Chattanooga,Hamilton,Rogers Rd,,0,0,1,1,0,0,30.0,1,0,1,0,0.0,0.0,35.034097,-85.241284,POINT (-85.241284 35.034097),"(35.034097, -85.241284)",1,2021,4,23,0,4
21-041515,2021-04-26 00:16:00,0.5,1523 Bradt St,,Chattanooga,Hamilton,Camden St,,1,0,1,0,1,0,30.0,2,0,1,0,0.0,0.0,35.054535,-85.262452,POINT (-85.262452 35.054535),"(35.054535, -85.262452)",0,2021,4,26,0,0
21-042799,2021-04-29 10:47:00,11.0,1200 Nellie St,,Chattanooga,Hamilton,Hoyt,,4,0,0,0,1,0,25.0,2,1,1,0,0.0,0.0,35.045715,-85.247063,POINT (-85.247063 35.045715),"(35.045715, -85.247063)",4,2021,4,29,10,3
21-046720,2021-05-09 00:30:00,0.5,1801 S Holtzclaw Ave,,Chattanooga,Hamilton,E 21st,,5,0,1,0,1,0,,1,0,1,0,0.0,1.0,35.025405,-85.290348,POINT (-85.290348 35.025405),"(35.025405, -85.290348)",0,2021,5,9,0,6
21-049321,2021-05-15 21:25:00,21.5,E 23rd St,,Chattanooga,Hamilton,Rossville Blvd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.024513,-85.297979,POINT (-85.297979 35.024513),"(35.024513, -85.297979)",1,2021,5,15,21,5
21-054976,2021-05-29 04:19:00,4.5,4305 Hancock Rd,,Chattanooga,Hamilton,Jersey Pike,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.08142,-85.185364,POINT (-85.185364 35.08142),"(35.081420, -85.185364)",1,2021,5,29,4,5
21-056388,2021-06-01 00:00:00,,E 23rd St,,Chattanooga,Hamilton,S Willow St,,4,0,1,0,1,0,35.0,1,0,1,0,,0.0,35.01701,-85.277147,POINT (-85.277147 35.01701),"(35.017010, -85.277147)",6,2021,6,1,0,1
21-056921,2021-06-03 08:00:00,8.0,103 Market St,,Chattanooga,Hamilton,Aquarium Way,,5,0,1,0,1,0,30.0,1,0,1,0,0.0,1.0,35.055669,-85.309741,POINT (-85.309741 35.055669),"(35.055669, -85.309741)",4,2021,6,3,8,3
21-062800,2021-06-17 13:10:00,13.0,301 E Martin Luther King Blvd,,Chattanooga,Hamilton,E MLK Blvd,,1,0,1,0,1,0,25.0,1,0,1,0,0.0,1.0,35.044821,-85.305288,POINT (-85.305288 35.044821),"(35.044821, -85.305288)",4,2021,6,17,13,3
21-067652,2021-06-29 10:56:00,11.0,5900 Lee Hwy,,Chattanooga,Hamilton,Airport Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.022082,-85.198323,POINT (-85.198323 35.022082),"(35.022082, -85.198323)",4,2021,6,29,10,1
21-068829,2021-07-02 10:50:00,11.0,2180 Gunbarrel Rd,,Chattanooga,Hamilton,Commons Blvd,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.034718,-85.149653,POINT (-85.149653 35.034718),"(35.034718, -85.149653)",4,2021,7,2,10,4
21-072217,2021-07-10 16:07:00,16.0,Dodson Ave,SR-1420,Chattanooga,Hamilton,Wilcox Blvd,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.05297,-85.260301,POINT (-85.260301 35.05297),"(35.052970, -85.260301)",4,2021,7,10,16,5
21-073805,2021-07-14 17:00:00,17.0,E Main St,,Chattanooga,Hamilton,Market St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.036143,-85.307328,POINT (-85.307328 35.036143),"(35.036143, -85.307328)",4,2021,7,14,17,2
21-073960,2021-07-15 00:42:00,0.5,W 10th St,SR-100,Chattanooga,Hamilton,Broad St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.04484,-85.3109,POINT (-85.3109 35.04484),"(35.044840, -85.310900)",0,2021,7,15,0,3
21-077105,2021-07-22 20:09:00,20.0,24 EB interstate,I-24,Chattanooga,Hamilton,Hwy 27,177.0,0,0,0,1,1,0,55.0,1,0,1,0,0.0,0.0,35.021125,-85.326589,POINT (-85.326589 35.021125),"(35.021125, -85.326589)",5,2021,7,22,20,3
21-078051,2021-07-24 22:45:00,23.0,Market St,SR-0,Chattanooga,Hamilton,W 14th St,0.0,1,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.038306,-85.307836,POINT (-85.307836 35.038306),"(35.038306, -85.307836)",0,2021,7,24,22,5
21-079263,2021-07-27 22:00:00,22.0,7641 Lee Hwy,,Chattanooga,Hamilton,Lee Hwy,,4,0,0,0,1,0,40.0,1,0,1,0,0.0,1.0,35.060567,-85.135205,POINT (-85.135205 35.060567),"(35.060567, -85.135205)",0,2021,7,27,22,1
21-083152,2021-08-06 14:06:00,14.0,2119 E 23rd St,,Chattanooga,Hamilton,S Willow St,,5,0,1,0,1,0,30.0,1,0,1,0,,,35.018546,-85.280426,POINT (-85.280426 35.018546),"(35.018546, -85.280426)",4,2021,8,6,14,4
21-084890,2021-08-10 22:56:00,23.0,4903 Brainerd Rd,,Chattanooga,Hamilton,N Moore Rd,,1,0,0,0,1,0,40.0,1,0,1,0,0.0,1.0,35.012915,-85.227459,POINT (-85.227459 35.012915),"(35.012915, -85.227459)",0,2021,8,10,22,1
21-085734,2021-08-13 00:30:00,0.5,Interstate 24 EB hwy,I-24,Chattanooga,Hamilton,S Germantown rd,183.2,5,0,1,0,1,0,55.0,1,0,1,0,,,35.012864,-85.249053,POINT (-85.249053 35.012864),"(35.012864, -85.249053)",1,2021,8,13,0,4
21-088654,2021-08-20 03:19:00,3.5,S Willow St,,Chattanooga,Hamilton,E 18th St,,1,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.02184,-85.278652,POINT (-85.278652 35.02184),"(35.021840, -85.278652)",0,2021,8,20,3,4
21-094343,2021-09-03 06:57:00,7.0,Frazier Ave,,Chattanooga,Hamilton,Tremont St/Tampa St,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.0616,-85.30466,POINT (-85.30466 35.0616),"(35.061600, -85.304660)",4,2021,9,3,6,4
21-097062,2021-09-10 07:00:00,7.0,E 11th St,SR-1,Chattanooga,Hamilton,Market St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.043922,-85.309345,POINT (-85.309345 35.043922),"(35.043922, -85.309345)",3,2021,9,10,7,4
21-099547,2021-09-16 18:43:00,18.5,1420 Dodson Ave,,Chattanooga,Hamilton,Wilcox Blvd,,4,0,1,0,1,0,,1,0,1,0,0.0,1.0,35.05297,-85.260301,POINT (-85.260301 35.05297),"(35.052970, -85.260301)",4,2021,9,16,18,3
21-100015,2021-09-17 20:35:00,20.5,3440 Wilcox Blvd,,Chattanooga,Hamilton,Tunnel Blvd,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.046965,-85.238216,POINT (-85.238216 35.046965),"(35.046965, -85.238216)",0,2021,9,17,20,4
21-102443,2021-09-24 00:00:00,,7502 Standifer Gap Rd,,Chattanooga,Hamilton,Jenkins Rd,,5,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.0436962,-85.125868,POINT (-85.125868 35.0436962),"(35.0436962, -85.125868)",2,2021,9,24,0,4
21-103607,2021-09-27 11:10:00,11.0,W 20th St,,Chattanooga,Hamilton,Long St,,1,0,0,0,1,0,,1,0,1,0,0.0,0.0,35.032049,-85.311255,POINT (-85.311255 35.032049),"(35.032049, -85.311255)",4,2021,9,27,11,0
21-104673,2021-09-29 23:44:00,23.5,438 Roberts St,SR-438,Chattanooga,Hamilton,Cleveland Ave,,5,0,1,0,1,0,25.0,1,0,1,0,,,35.043325,-85.273118,POINT (-85.273118 35.043325),"(35.043325, -85.273118)",0,2021,9,29,23,2
21-104971,2021-09-30 17:43:00,17.5,1401 E 23rd St,,Chattanooga,Hamilton,S Greenwood Ave,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.0221,-85.290226,POINT (-85.290226 35.0221),"(35.022100, -85.290226)",4,2021,9,30,17,3
21-105360,2021-10-01 14:50:00,15.0,7400 Goodwin Rd,,Chattanooga,Hamilton,Gunbarrel Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.030221,-85.155546,POINT (-85.155546 35.030221),"(35.030221, -85.155546)",4,2021,10,1,14,4
21-105933,2021-10-02 21:43:00,21.5,2100 Hamilton Place Blvd,,Chattanooga,Hamilton,Hamilton Place Blvd,,4,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.032896,-85.159378,POINT (-85.159378 35.032896),"(35.032896, -85.159378)",0,2021,10,2,21,5
21-109530,2021-10-11 20:50:00,21.0,4600 Amnicola Hwy,,Chattanooga,Hamilton,HWY 153,,5,0,0,0,1,0,50.0,1,0,1,0,0.0,0.0,35.091662,-85.225479,POINT (-85.225479 35.091662),"(35.091662, -85.225479)",1,2021,10,11,20,0
21-110378,2021-10-13 21:00:00,21.0,801 Riverfront Pkwy,,Chattanooga,Hamilton,Molly Ln,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,1.0,35.05079,-85.321247,POINT (-85.321247 35.05079),"(35.050790, -85.321247)",0,2021,10,13,21,2
21-111526,2021-10-16 20:18:00,20.5,Brainerd Rd,,Chattanooga,Hamilton,Eastgate Loop Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,1.0,35.01064,-85.216372,POINT (-85.216372 35.01064),"(35.010640, -85.216372)",0,2021,10,16,20,5
21-112935,2021-10-20 19:19:00,19.5,Georgia Ave,,Chattanooga,Hamilton,E 5th St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.051045,-85.305296,POINT (-85.305296 35.051045),"(35.051045, -85.305296)",0,2021,10,20,19,2
21-114102,2021-10-23 19:43:00,19.5,Bonny Oaks Dr,,Chattanooga,Hamilton,S Access,,5,0,0,0,1,0,45.0,4,0,1,0,1.0,1.0,35.080613,-85.212942,POINT (-85.212942 35.080613),"(35.080613, -85.212942)",0,2021,10,23,19,5
21-117789,2021-11-02 15:45:00,16.0,1300 Vance Road,SR-1300,Chattanooga,Hamilton,Hunt Drive,,5,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.024147,-85.187644,POINT (-85.187644 35.024147),"(35.024147, -85.187644)",4,2021,11,2,15,1
21-119028,2021-11-05 20:26:00,20.5,Market St,,Chattanooga,Hamilton,W14th St,,5,0,0,0,1,0,30.0,1,0,1,0,,,35.038499,-85.307481,POINT (-85.307481 35.038499),"(35.038499, -85.307481)",0,2021,11,5,20,4
21-119032,2021-11-05 20:45:00,21.0,4850 Highway 58,SR-4850,Chattanooga,Hamilton,Jersey Pike,,0,0,1,1,0,0,40.0,1,0,1,0,0.0,1.0,35.09146,-85.182441,POINT (-85.182441 35.09146),"(35.091460, -85.182441)",1,2021,11,5,20,4
18-115346,2018-11-30 22:54:00,23.0,2277 Gunbarrel Rd,SR-2200,Chattanooga,Hamilton,Shallowford Road,,4,0,0,0,1,0,40.0,1,0,1,0,0.0,0.0,35.039243,-85.151301,POINT (-85.151301 35.039243),"(35.039243, -85.151301)",0,2018,11,30,22,4
18-023493,2018-03-17 14:39:00,14.5,1808 S Beech St,SR-1808,Chattanooga,Hamilton,E 19th St,,5,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.1830942,-85.219799,POINT (-85.219799 35.1830942),"(35.1830942, -85.219799)",4,2018,3,17,14,5
18-011355,2018-02-07 19:30:00,19.5,3131 Mountain Creek Rd,,Chattanooga,Hamilton,Mountain creek rd,,1,0,0,0,1,0,,1,1,1,0,0.0,0.0,35.123054,-85.318047,POINT (-85.318047 35.123054),"(35.123054, -85.318047)",1,2018,2,7,19,2
18-034811,2018-04-20 09:06:00,9.0,3604 Brainerd Rd,,Chattanooga,Hamilton,Germantown Rd,,5,0,0,0,1,0,40.0,1,0,1,0,0.0,,35.023303,-85.245707,POINT (-85.245707 35.023303),"(35.023303, -85.245707)",4,2018,4,20,9,4
18-004556,2018-01-16 06:50:00,7.0,W 20th St,SR-400,Chattanooga,Hamilton,2000 Broad St,,1,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.033352,-85.313586,POINT (-85.313586 35.033352),"(35.033352, -85.313586)",3,2018,1,16,6,1
18-005521,2018-01-19 17:20:00,17.5,200 W 6th St,,Chattanooga,Hamilton,Non intersection,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.049623,-85.311696,POINT (-85.311696 35.049623),"(35.049623, -85.311696)",4,2018,1,19,17,4
18-005044,2018-01-18 05:49:00,6.0,Volkswagen Dr,,Chattanooga,Hamilton,Bonny Oaks Dr,,4,0,1,0,1,0,,1,0,1,0,0.0,0.0,35.080045,-85.132664,POINT (-85.132664 35.080045),"(35.080045, -85.132664)",0,2018,1,18,5,3
18-015263,2018-02-20 06:37:00,6.5,Market St,,Chattanooga,Hamilton,E 6th St,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.049668,-85.309567,POINT (-85.309567 35.049668),"(35.049668, -85.309567)",4,2018,2,20,6,1
19-022421,2019-03-09 00:00:00,,2204 Hamilton Place Blvd,SR-2204,Chattanooga,Hamilton,Hamilton Place Blvd,,4,0,1,0,1,0,30.0,1,4,1,0,1.0,1.0,35.0381,-85.155971,POINT (-85.155971 35.0381),"(35.038100, -85.155971)",1,2019,3,9,0,5
18-000505,2018-01-02 17:41:00,17.5,E 10th St,,Chattanooga,Hamilton,Market St,,1,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.044862,-85.309402,POINT (-85.309402 35.044862),"(35.044862, -85.309402)",4,2018,1,2,17,1
19-052405,2019-05-30 11:11:00,11.0,140 Highway 153 Nb,,Chattanooga,Hamilton,130 Hwy 153 NB,,5,0,0,0,1,0,55.0,1,0,1,0,1.0,0.0,35.039725,-85.18526,POINT (-85.18526 35.039725),"(35.039725, -85.185260)",4,2019,5,30,11,3
18-025531,2018-03-23 15:30:00,15.5,Shepherd View Cir,,Chattanooga,Hamilton,7168 shepard view circle,,1,0,0,0,1,0,15.0,1,0,1,0,0.0,0.0,35.057392,-85.148694,POINT (-85.148694 35.057392),"(35.057392, -85.148694)",4,2018,3,23,15,4
18-002179,2018-01-08 07:17:00,7.5,E 3rd St,,Chattanooga,Hamilton,Central Ave,,1,0,0,0,1,0,30.0,1,3,1,0,0.0,0.0,35.046907,-85.288194,POINT (-85.288194 35.046907),"(35.046907, -85.288194)",0,2018,1,8,7,0
18-110312,2018-11-15 19:55:00,20.0,5837 Bunch St,,Chattanooga,Hamilton,Dixson St,,5,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.043199,-85.19201,POINT (-85.19201 35.043199),"(35.043199, -85.192010)",0,2018,11,15,19,3
18-003394,2018-01-12 07:01:00,7.0,Brainerd Rd,US-11,Chattanooga,Hamilton,Brainerd Rd,,4,0,0,0,1,0,,1,4,1,0,0.0,0.0,35.012306,-85.212241,POINT (-85.212241 35.012306),"(35.012306, -85.212241)",0,2018,1,12,7,4
18-060450,2018-06-28 06:15:00,6.5,Volkswagen Dr,,Chattanooga,Hamilton,Volkswagen Dr,,4,0,0,0,1,0,15.0,1,1,1,0,0.0,0.0,35.080045,-85.132664,POINT (-85.132664 35.080045),"(35.080045, -85.132664)",4,2018,6,28,6,3
18-074860,2018-08-07 06:44:00,6.5,7300 Shallowford Rd,,Chattanooga,Hamilton,Napier,,0,0,0,1,1,0,40.0,1,0,1,0,0.0,0.0,35.041836,-85.154037,POINT (-85.154037 35.041836),"(35.041836, -85.154037)",0,2018,8,7,6,1
18-006318,2018-01-22 12:36:00,12.5,2100 Hamilton Place,,Chattanooga,Hamilton,Hamilton place blvd,,4,0,0,0,1,0,20.0,1,0,1,0,0.0,0.0,35.0511515,-85.188788,POINT (-85.188788 35.0511515),"(35.0511515, -85.188788)",4,2018,1,22,12,0
18-029837,2018-04-05 12:05:00,12.0,S Kelley St,,Chattanooga,Hamilton,Chamberlain Ave,,5,0,1,0,1,0,25.0,1,0,1,0,0.0,0.0,35.08811,-85.071898,POINT (-85.071898 35.08811),"(35.088110, -85.071898)",4,2018,4,5,12,3
19-035594,2019-04-14 21:51:00,22.0,3459 Amnicola Hwy,SR-3400,Chattanooga,Hamilton,Lost Mound Drive,,0,0,0,1,0,0,45.0,1,0,1,0,0.0,0.0,35.083556,-85.263401,POINT (-85.263401 35.083556),"(35.083556, -85.263401)",1,2019,4,14,21,6
18-018436,2018-03-02 09:39:00,9.5,7400 Bonny oaks Dr,,Chattanooga,Hamilton,Silverdale Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.062947,-85.137467,POINT (-85.137467 35.062947),"(35.062947, -85.137467)",4,2018,3,2,9,4
21-122159,2021-11-14 01:47:00,2.0,6925 Shallowford Rd,,Chattanooga,Hamilton,Center St,,5,0,1,0,1,0,,1,0,1,0,,1.0,35.044439,-85.160347,POINT (-85.160347 35.044439),"(35.044439, -85.160347)",1,2021,11,14,1,6
21-122535,2021-11-15 07:50:00,8.0,200 Central Ave,,Chattanooga,Hamilton,E 3rd St,,4,0,0,0,1,0,25.0,1,0,1,0,0.0,0.0,35.047189,-85.28776,POINT (-85.28776 35.047189),"(35.047189, -85.287760)",4,2021,11,15,7,0
21-123177,2021-11-16 21:25:00,21.5,Broad St at W MLK Blvd,,Chattanooga,Hamilton,Broad St,,5,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.04568,-85.31051,POINT (-85.31051 35.04568),"(35.045680, -85.310510)",0,2021,11,16,21,1
21-123539,2021-11-17 17:55:00,18.0,800 N Willow St,,Chattanooga,Hamilton,2200 Rawlings,,1,0,0,0,1,0,30.0,1,0,1,0,0.0,0.0,35.044888,-85.266698,POINT (-85.266698 35.044888),"(35.044888, -85.266698)",1,2021,11,17,17,2
21-123680,2021-11-18 04:50:00,5.0,6003 Shallowford Rd,,Chattanooga,Hamilton,Chapman Rd,,5,0,1,0,1,0,45.0,1,0,1,0,0.0,0.0,35.054355,-85.188205,POINT (-85.188205 35.054355),"(35.054355, -85.188205)",0,2021,11,18,4,3
21-128288,2021-12-01 05:06:00,5.0,90 Highway 153,US-153,Chattanooga,Hamilton,Interstate 75,,5,0,0,0,1,1,55.0,1,0,1,0,0.0,0.0,35.024637,-85.174285,POINT (-85.174285 35.024637),"(35.024637, -85.174285)",1,2021,12,1,5,2
21-128612,2021-12-01 00:00:00,,2140 E 28th St,,Chattanooga,Hamilton,4th Ave,,5,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.011308,-85.283909,POINT (-85.283909 35.011308),"(35.011308, -85.283909)",0,2021,12,1,0,2
21-128725,2021-12-02 09:29:00,9.5,2321 Hickory Valley Rd,,Chattanooga,Hamilton,Shallowford Rd,,1,0,0,0,1,0,45.0,1,0,1,0,0.0,0.0,35.048197,-85.165687,POINT (-85.165687 35.048197),"(35.048197, -85.165687)",4,2021,12,2,9,3
21-128914,2021-12-02 17:34:00,17.5,2125 E 25th Street Pl,,Chattanooga,Hamilton,4th Ave,,5,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.014278,-85.282031,POINT (-85.282031 35.014278),"(35.014278, -85.282031)",4,2021,12,2,17,3
21-130908,2021-12-07 18:47:00,19.0,2464 Amnicola Hwy,SR-2464,Chattanooga,Hamilton,River Terminal Rd,,0,0,0,1,1,0,50.0,1,0,1,0,1.0,1.0,34.9929235,-85.203119,POINT (-85.203119 34.9929235),"(34.9929235, -85.203119)",1,2021,12,7,18,1
21-131787,2021-12-10 00:27:00,0.5,W Martin Luther King Blvd,,Chattanooga,Hamilton,Market St,,5,0,0,0,1,0,35.0,1,0,1,0,0.0,1.0,35.04576,-85.30965,POINT (-85.30965 35.04576),"(35.045760, -85.309650)",0,2021,12,10,0,4
21-132864,2021-12-12 19:00:00,19.0,509 N Moore Rd,,Chattanooga,Hamilton,Carolyn Ln,,1,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.019414,-85.225037,POINT (-85.225037 35.019414),"(35.019414, -85.225037)",0,2021,12,12,19,6
21-135539,2021-12-19 16:02:00,16.0,4903 Brainerd Rd,,Chattanooga,Hamilton,N Moore Rd,,5,0,1,0,1,0,35.0,1,0,1,0,0.0,0.0,35.012915,-85.227459,POINT (-85.227459 35.012915),"(35.012915, -85.227459)",4,2021,12,19,16,6
21-138242,2021-12-27 13:30:00,13.5,3600 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd.,,1,0,1,0,1,0,30.0,1,0,1,0,0.0,0.0,35.023643,-85.246419,POINT (-85.246419 35.023643),"(35.023643, -85.246419)",4,2021,12,27,13,0
21-138736,2021-12-28 22:47:00,23.0,404 Tunnel Blvd,,Chattanooga,Hamilton,Tunnel Blvd,,1,0,1,0,1,0,15.0,1,0,1,0,,,35.033474,-85.243255,POINT (-85.243255 35.033474),"(35.033474, -85.243255)",0,2021,12,28,22,1
21-139384,2021-12-30 18:00:00,18.0,5300 Brainerd Rd,,Chattanooga,Hamilton,McBrien Rd,,4,0,0,0,1,0,35.0,1,0,1,0,0.0,0.0,35.010574,-85.222145,POINT (-85.222145 35.010574),"(35.010574, -85.222145)",0,2021,12,30,18,3
22-000334,2022-01-01 20:16:00,20.5,133 W 38th St,SR-133,Chattanooga,Hamilton,3800 Central Ave,,5,0,0,0,1,0,40.0,1,4,1,0,0.0,0.0,35.005924,-85.311189,POINT (-85.311189 35.005924),"(35.005924, -85.311189)",0,2022,1,1,20,5
