Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
19-018071,02/24/2019 01:25:00 AM,1.5,3817 Hixson Pike,SR-3817,Chattanooga,Hamilton,Mauldeth,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Rain,Yes,No,No,No,35.110842,-85.270346,POINT (-85.270346 35.110842),"(35.110842, -85.270346)",Dark - Not Lighted
19-019595,02/28/2019 05:00:00 PM,17,6025 E Brainerd Rd,,Chattanooga,Hamilton,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Rain,Yes,No,No,No,35.01766,-85.204326,POINT (-85.204326 35.01766),"(35.017660, -85.204326)",Daylight
19-019947,03/01/2019 04:15:00 PM,16.5,1600 Dodds Ave,,Chattanooga,Hamilton,E 16th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,35,1,Clear,Yes,No,No,No,35.0204,-85.27048,POINT (-85.27048 35.0204),"(35.020400, -85.270480)",Daylight
19-020433,03/03/2019 02:45:00 AM,3,7003 Shallowford Rd,,Chattanooga,Hamilton,Lee Hwy,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,15,1,Clear,Yes,No,No,Yes,35.044604,-85.160235,POINT (-85.160235 35.044604),"(35.044604, -85.160235)",Dark - Lighted
19-021174,03/05/2019 02:25:00 PM,14.5,900 Central Ave St,,Chattanooga,Hamilton,E Martin Luther King Blvd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,35,1,Clear,Yes,No,,,35.039775,-85.292119,POINT (-85.292119 35.039775),"(35.039775, -85.292119)",Daylight
19-023407,03/11/2019 12:00:00 AM,,Hwy 153,,Chattanooga,Hamilton,Hixson Pike,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,40,1,Rain,Yes,No,,,35.1295098,-85.243935,POINT (-85.243935 35.1295098),"(35.1295098, -85.243935)",Unknown
19-023822,03/13/2019 08:32:00 AM,8.5,31 Tunnel Blvd,,Chattanooga,Hamilton,Montview Drive,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.027665,-85.248033,POINT (-85.248033 35.027665),"(35.027665, -85.248033)",Daylight
19-025508,03/17/2019 09:29:00 PM,21.5,6220 Vance Rd,,Chattanooga,Hamilton,Airways Blvd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.032936,-85.18724,POINT (-85.18724 35.032936),"(35.032936, -85.187240)",Dark - Not Lighted
19-026306,03/20/2019 08:50:00 AM,9,600 Chestnut St,,Chattanooga,Hamilton,Non intersection,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.049623,-85.311696,POINT (-85.311696 35.049623),"(35.049623, -85.311696)",Daylight
19-027827,03/24/2019 05:15:00 PM,17.5,3227 7th Ave,,Chattanooga,Hamilton,7th Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.003877,-85.283758,POINT (-85.283758 35.003877),"(35.003877, -85.283758)",Daylight
19-028248,03/25/2019 08:40:00 PM,20.5,Cummings Hwy,SR-3550,Chattanooga,Hamilton,Hemlock Cir,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Rain,Yes,No,No,No,35.01654,-85.377148,POINT (-85.377148 35.01654),"(35.016540, -85.377148)",Dark - Lighted
19-029559,03/29/2019 04:50:00 PM,17,5605 Seagrove Ln,,Chattanooga,Hamilton,Bungalow Cir,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,20,1,Clear,Yes,No,No,No,35.14337,-85.206028,POINT (-85.206028 35.14337),"(35.143370, -85.206028)",Daylight
19-030455,04/01/2019 01:25:00 AM,1.5,3100 Rossville Blvd,SR-1,Chattanooga,Hamilton,E 31st,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,Yes,35.008603,-85.292886,POINT (-85.292886 35.008603),"(35.008603, -85.292886)",Dark - Lighted
19-030883,04/02/2019 08:35:00 AM,8.5,4816 Hixson Pike,,Chattanooga,Hamilton,Williams Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,35.126591,-85.246563,POINT (-85.246563 35.126591),"(35.126591, -85.246563)",Daylight
19-033780,04/10/2019 10:45:00 AM,11,300 Manufacturers Rd,,Chattanooga,Hamilton,Cherokee Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.06339,-85.31415,POINT (-85.31415 35.06339),"(35.063390, -85.314150)",Daylight
19-034013,04/10/2019 08:00:00 PM,20,1416 Cypress Street Ct,SR-1416,Chattanooga,Hamilton,W Main St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,15,1,Clear,Yes,No,No,No,35.041002,-85.318266,POINT (-85.318266 35.041002),"(35.041002, -85.318266)",Daylight
19-036604,04/17/2019 05:14:00 PM,17,E Martin Luther King Blvd,,Chattanooga,Hamilton,Peeples St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.042295,-85.298807,POINT (-85.298807 35.042295),"(35.042295, -85.298807)",Daylight
