Incident Number,Incident Date,Time Num,Street,Alt Street,City,County,Intersection,Mile Post,Accident Type,Collision Type,Hit and Run,Involved Fatal Injury,Involved Medical Transport,Involved Placarded Truck,Posted Speed,Total Vehicles Involved,Weather Code,Pedestrian Involved,Bicycle Involved,Drug Involved,Alcohol Involved,Latitude,Longitude,Location WKT,Location,Light Condition
23-092595,08/24/2023 04:44:00 PM,16.5,4200 Bonny Oaks Dr,,Chattanooga,Hamilton,S Access Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,40,2,Clear,Yes,No,No,No,35.076752,-85.102216,POINT (-85.102216 35.076752),"(35.076752, -85.102216)",Daylight
23-083287,08/01/2023 09:35:00 PM,21.5,610 N Moore Rd,,Chattanooga,Hamilton,Ellis Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.020732,-85.223996,POINT (-85.223996 35.020732),"(35.020732, -85.223996)",Daylight
23-071741,07/04/2023 06:45:00 PM,19,1028 Beason Dr,,Chattanooga,Hamilton,Beason Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,Clear,Yes,No,No,No,35.0522823,-85.132235,POINT (-85.132235 35.0522823),"(35.0522823, -85.132235)",Daylight
23-089584,08/17/2023 03:39:00 AM,3.5,400 Chickamauga Rd,,Chattanooga,Hamilton,Lee hwy,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,No,No,15,1,Clear,Yes,No,Yes,Yes,35.021816,-85.19837,POINT (-85.19837 35.021816),"(35.021816, -85.198370)",Dark - Lighted
18-001106,01/04/2018 02:24:00 PM,14.5,Rogers Rd,,Chattanooga,Hamilton,N Parkdale Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,25,1,Clear,Yes,No,No,No,35.02496,-85.227372,POINT (-85.227372 35.02496),"(35.024960, -85.227372)",Daylight
18-001119,01/04/2018 02:56:00 PM,15,51 W 3rd St,,Chattanooga,Hamilton,Market St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.106632,-85.279061,POINT (-85.279061 35.106632),"(35.106632, -85.279061)",Daylight
23-110280,10/10/2023 06:11:00 PM,18,3569 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,35.027555,-85.127268,POINT (-85.127268 35.027555),"(35.027555, -85.127268)",Daylight
23-094927,08/30/2023 09:45:00 AM,10,2017 Gunbarrel Rd,,Chattanooga,Hamilton,Gunbarrel Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,,1,Clear,Yes,No,No,No,35.031677,-85.155287,POINT (-85.155287 35.031677),"(35.031677, -85.155287)",Daylight
23-102899,09/20/2023 04:27:00 PM,16.5,I-75 SB Exit 5 Rd,,Chattanooga,Hamilton,Shallowford Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,40,1,Clear,Yes,No,No,No,35.0432887,-85.157116,POINT (-85.157116 35.0432887),"(35.0432887, -85.157116)",Daylight
23-108798,10/06/2023 12:26:00 PM,12.5,4011 Brainerd Rd,SR-4011,Chattanooga,Hamilton,Belvoir Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Cloudy,Yes,No,No,Yes,35.018851,-85.238307,POINT (-85.238307 35.018851),"(35.018851, -85.238307)",Daylight
23-120068,11/07/2023 01:06:00 PM,13,8644 E Brainerd Rd,,Chattanooga,Hamilton,Hurricane Creek Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,,1,Clear,Yes,No,No,No,34.999417,-85.133814,POINT (-85.133814 34.999417),"(34.999417, -85.133814)",Daylight
23-042975,04/25/2023 09:23:00 AM,9.5,Igou Gap Rd,,Chattanooga,Hamilton,Morris Hill Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.016107,-85.125823,POINT (-85.125823 35.016107),"(35.016107, -85.125823)",Daylight
23-107498,10/03/2023 07:16:00 AM,7.5,4417 Highway 58,,Chattanooga,Hamilton,Murray Hills Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,35.084699,-85.202247,POINT (-85.202247 35.084699),"(35.084699, -85.202247)",Dark - Lighted
23-109046,10/07/2023 12:33:00 AM,0.5,4900 Bonny Oaks Drive,,Chattanooga,Hamilton,Jersey Pike,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,No,No,45,1,Clear,Yes,No,Yes,Yes,35.0817186,-85.262947,POINT (-85.262947 35.0817186),"(35.0817186, -85.262947)",Dark - Lighted
23-110083,10/10/2023 06:30:00 AM,6.5,400 E 11th St,,Chattanooga,Hamilton,Non intersection,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,35.041869,-85.304752,POINT (-85.304752 35.041869),"(35.041869, -85.304752)",Daylight
23-044539,04/29/2023 05:38:00 AM,5.5,8001 Volkswagen Dr,,Chattanooga,Hamilton,Ferdinand Piech Wy,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,30,1,Clear,Yes,No,No,No,35.087197,-85.134496,POINT (-85.134496 35.087197),"(35.087197, -85.134496)",Dark - Lighted
23-116516,10/27/2023 08:44:00 PM,20.5,Mccallie Ave,SR-500,Chattanooga,Hamilton,Douglas St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,No,35.045946,-85.301604,POINT (-85.301604 35.045946),"(35.045946, -85.301604)",Dark - Lighted
23-118129,11/01/2023 04:15:00 PM,16.5,17970 Interstate 24 Wb Rd,,Chattanooga,Hamilton,Interstate 24 Eb,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,50,1,Clear,Yes,No,No,No,35.024619,-85.300802,POINT (-85.300802 35.024619),"(35.024619, -85.300802)",Daylight
23-118217,11/01/2023 08:05:00 PM,20,5510 Highway 153,,Chattanooga,Hamilton,Gadd Rd,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,45,2,Clear,Yes,No,No,No,35.001691,-85.293182,POINT (-85.293182 35.001691),"(35.001691, -85.293182)",Daylight
18-007370,01/25/2018 05:00:00 PM,17,Cherokee Blvd,,Chattanooga,Hamilton,W Manning St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.065702,-85.313496,POINT (-85.313496 35.065702),"(35.065702, -85.313496)",Daylight
18-007463,01/25/2018 05:00:00 PM,17,1010 N Moore Rd,,Chattanooga,Hamilton,N Moore Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,20,1,Clear,Yes,No,No,No,35.025175,-85.218099,POINT (-85.218099 35.025175),"(35.025175, -85.218099)",Daylight
18-010600,02/05/2018 04:36:00 AM,4.5,200 E 38th St,SR-200,Chattanooga,Hamilton,Fagan St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.004571,-85.308231,POINT (-85.308231 35.004571),"(35.004571, -85.308231)",Dark - Lighted
18-011035,02/06/2018 07:56:00 PM,20,200 High St,,Chattanooga,Hamilton,200 High St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,,1,Clear,Yes,No,No,No,35.054882,-85.305525,POINT (-85.305525 35.054882),"(35.054882, -85.305525)",Dark - Lighted
18-012198,02/10/2018 01:10:00 PM,13,7420 Bonny Oaks Dr,,Chattanooga,Hamilton,Silverdale rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Rain,Yes,No,No,No,35.06093,-85.136543,POINT (-85.136543 35.06093),"(35.060930, -85.136543)",Daylight
18-015259,02/20/2018 06:00:00 AM,6,Taylor St,,Chattanooga,Hamilton,Taylor St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,35,1,Clear,Yes,No,No,No,35.077231,-85.245548,POINT (-85.245548 35.077231),"(35.077231, -85.245548)",Dark - Lighted
18-017761,02/27/2018 05:50:00 PM,18,4902 Jeffery Ln,,Chattanooga,Hamilton,E 49th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,No,34.9915689,-85.306069,POINT (-85.306069 34.9915689),"(34.9915689, -85.306069)",Daylight
18-017777,02/28/2018 10:48:00 AM,11,100 N Market St,,Chattanooga,Hamilton,Frazier Ave,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Rain,Yes,No,No,No,35.1817509,-85.219612,POINT (-85.219612 35.1817509),"(35.1817509, -85.219612)",Daylight
18-023178,03/16/2018 03:20:00 PM,15.5,2199 Wilder St,,Chattanooga,Hamilton,Dodson Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.0586866,-85.27557,POINT (-85.27557 35.0586866),"(35.0586866, -85.275570)",Daylight
18-029117,04/03/2018 01:29:00 PM,13.5,3600 Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,40,1,Clear,Yes,No,No,No,35.024158,-85.246468,POINT (-85.246468 35.024158),"(35.024158, -85.246468)",Daylight
18-029289,04/03/2018 10:50:00 PM,23,2300 4th Ave,SR-11,Chattanooga,Hamilton,4th Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Clear,Yes,No,No,No,35.017935,-85.279681,POINT (-85.279681 35.017935),"(35.017935, -85.279681)",Dark - Lighted
18-031173,04/09/2018 02:20:00 PM,14.5,301 W 6th St,SR-301,Chattanooga,Hamilton,Pine Street,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.050511,-85.313393,POINT (-85.313393 35.050511),"(35.050511, -85.313393)",Daylight
18-034331,04/18/2018 06:51:00 PM,19,2999 Wilcox Blvd,,Chattanooga,Hamilton,Mary Walker Place,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,No,No,35.048746,-85.248374,POINT (-85.248374 35.048746),"(35.048746, -85.248374)",Dusk
18-035600,04/22/2018 02:32:00 PM,14.5,5604 Hixson Pike,,Chattanooga,Hamilton,5129 Hixson Pike,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,Rain,Yes,No,No,No,35.144917,-85.22042,POINT (-85.22042 35.144917),"(35.144917, -85.220420)",Daylight
18-035811,04/23/2018 10:45:00 AM,11,Brainerd Rd,,Chattanooga,Hamilton,Spring Creek Rd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,40,1,Cloudy,Yes,No,No,No,35.010589,-85.221388,POINT (-85.221388 35.010589),"(35.010589, -85.221388)",Daylight
18-036782,04/26/2018 12:00:00 AM,,E Martin Luther King Blvd,,Chattanooga,Hamilton,Huston St,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,No,35.0444207,-85.313301,POINT (-85.313301 35.0444207),"(35.0444207, -85.313301)",Dark - Lighted
18-038226,04/30/2018 08:17:00 AM,8.5,299 E 6th St,,Chattanooga,Hamilton,Lookout St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.049741,-85.306413,POINT (-85.306413 35.049741),"(35.049741, -85.306413)",Daylight
18-041750,05/09/2018 10:10:00 PM,22,Houston St,,Chattanooga,Hamilton,E Martin Luther King Blvd,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,35,1,Clear,Yes,No,,Yes,35.044747,-85.305556,POINT (-85.305556 35.044747),"(35.044747, -85.305556)",Dark - Lighted
18-042526,05/12/2018 01:55:00 AM,2,1338 Ely Rd,,Chattanooga,Hamilton,Norcross Rd,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,Yes,No,30,1,Clear,Yes,No,Yes,Yes,35.0679894,-85.308402,POINT (-85.308402 35.0679894),"(35.0679894, -85.308402)",Dark - Lighted
18-043985,05/16/2018 05:28:00 AM,5.5,3224 Brainerd Rd,,Chattanooga,Hamilton,Brainerd Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.027032,-85.254178,POINT (-85.254178 35.027032),"(35.027032, -85.254178)",Dark - Not Lighted
18-048011,05/26/2018 10:04:00 PM,22,Hixson Pike,,Chattanooga,Hamilton,Longview Dr,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,45,1,Clear,Yes,No,Yes,Yes,35.1438846,-85.22689,POINT (-85.22689 35.1438846),"(35.1438846, -85.226890)",Dark - Lighted
18-050796,06/03/2018 07:39:00 AM,7.5,301 Market St,SR-301,Chattanooga,Hamilton,E 3rd St,,Property Damage,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,30,1,Clear,Yes,No,No,No,35.05332,-85.309891,POINT (-85.309891 35.05332),"(35.053320, -85.309891)",Daylight
18-052779,06/08/2018 03:19:00 PM,15.5,800 Gateway Ave,SR-1,Chattanooga,Hamilton,W ML king,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.051848,-85.31787,POINT (-85.31787 35.051848),"(35.051848, -85.317870)",Daylight
18-053584,06/10/2018 02:12:00 PM,14,5928 Hixson Pike,,Chattanooga,Hamilton,Cassandra Smith Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,,1,Cloudy,Yes,No,No,No,35.147481,-85.20734,POINT (-85.20734 35.147481),"(35.147481, -85.207340)",Daylight
18-054915,06/13/2018 10:07:00 PM,22,Camden St,,Chattanooga,Hamilton,Dodson Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Clear,Yes,No,No,No,35.054518,-85.260155,POINT (-85.260155 35.054518),"(35.054518, -85.260155)",Dark - Lighted
18-055432,06/15/2018 10:18:00 AM,10.5,1515 Dodson Ave,,Chattanooga,Hamilton,Camden St,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.054131,-85.2603,POINT (-85.2603 35.054131),"(35.054131, -85.260300)",Daylight
18-056912,06/19/2018 07:52:00 AM,8,500 lupton drive,,Chattanooga,Hamilton,Sleepy hollow,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,Yes,No,35.10722,-85.282888,POINT (-85.282888 35.10722),"(35.107220, -85.282888)",Daylight
18-056991,06/19/2018 12:25:00 PM,12.5,Arbor Ln,,Chattanooga,Hamilton,Eller Rd,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,20,1,Clear,Yes,No,No,No,35.094641,-85.180832,POINT (-85.180832 35.094641),"(35.094641, -85.180832)",Daylight
18-058877,06/24/2018 01:28:00 AM,1.5,5256 Hwy 153,,Chattanooga,Hamilton,Northgate Mall Dr,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,Yes,No,45,1,Clear,Yes,No,No,No,35.126395,-85.240755,POINT (-85.240755 35.126395),"(35.126395, -85.240755)",Dark - Not Lighted
18-061897,07/02/2018 08:05:00 AM,8,Bonny Oaks Dr,,Chattanooga,Hamilton,Bonny Oaks Dr,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Cloudy,Yes,No,No,No,35.073644,-85.19034,POINT (-85.19034 35.073644),"(35.073644, -85.190340)",Daylight
18-062230,07/03/2018 07:00:00 AM,7,400 Somerville Ave,,Chattanooga,Hamilton,Cherokee Blvd,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,25,1,Clear,Yes,No,No,No,35.064697,-85.313699,POINT (-85.313699 35.064697),"(35.064697, -85.313699)",Daylight
18-063390,07/06/2018 01:23:00 AM,1.5,1949 Northpoint Blvd,SR-1900,Chattanooga,Hamilton,Hwy 153,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,,1,Clear,Yes,No,No,No,35.139184,-85.241889,POINT (-85.241889 35.139184),"(35.139184, -85.241889)",Dark - Lighted
18-064535,07/09/2018 12:15:00 PM,12.5,Market St,,Chattanooga,Hamilton,E 6th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.049668,-85.309567,POINT (-85.309567 35.049668),"(35.049668, -85.309567)",Daylight
18-066485,07/14/2018 03:15:00 PM,15.5,Brainerd Rd,,Chattanooga,Hamilton,N Germantown Rd,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.023689,-85.244503,POINT (-85.244503 35.023689),"(35.023689, -85.244503)",Daylight
18-071469,07/28/2018 12:00:00 AM,,300 Highway 153 SB,,Chattanooga,Hamilton,Jersey Pike,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,No,No,55,1,Unknown,Yes,No,Yes,Yes,35.0336745,-85.180913,POINT (-85.180913 35.0336745),"(35.0336745, -85.180913)",Unknown
18-072056,07/29/2018 11:00:00 PM,23,4537 Norcross Rd,,Chattanooga,Hamilton,Vanessa Dr,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,No,No,40,1,Clear,Yes,No,No,No,35.133413,-85.255501,POINT (-85.255501 35.133413),"(35.133413, -85.255501)",Dark - Not Lighted
18-074115,08/05/2018 01:31:00 AM,1.5,Market St,,Chattanooga,Hamilton,Market St,,Property Damage Under,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,2,Clear,Yes,No,No,Yes,35.0588643,-85.309234,POINT (-85.309234 35.0588643),"(35.0588643, -85.309234)",Dark - Lighted
18-074992,08/07/2018 02:20:00 PM,14.5,1100 Market St,,Chattanooga,Hamilton,E 11th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Clear,Yes,No,No,No,35.043922,-85.309345,POINT (-85.309345 35.043922),"(35.043922, -85.309345)",Daylight
18-076736,08/12/2018 12:00:00 AM,,114 Raider Ln,,Chattanooga,Hamilton,Signal Mountain Rd.,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,,1,Clear,Yes,No,No,No,35.089254,-85.33089,POINT (-85.33089 35.089254),"(35.089254, -85.330890)",Unknown
18-078276,08/16/2018 08:25:00 PM,20.5,Webb Rd,,Chattanooga,Hamilton,Rosalind Ln,,Possible Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,30,1,Clear,Yes,No,No,No,35.093622,-85.190694,POINT (-85.190694 35.093622),"(35.093622, -85.190694)",Dusk
18-083091,08/30/2018 04:50:00 PM,17,3222 Cummings Hwy,US-41,Chattanooga,Hamilton,3200 Cummings Hwy,32,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,15,1,Clear,Yes,No,No,No,35.019037,-85.371242,POINT (-85.371242 35.019037),"(35.019037, -85.371242)",Daylight
22-018870,02/22/2022 01:15:00 PM,13.5,501 Signal Mountain Rd,,Chattanooga,Hamilton,Mundy St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,Clear,Yes,No,No,No,35.072448,-85.248419,POINT (-85.248419 35.072448),"(35.0724480, -85.248419)",Daylight
18-085109,09/05/2018 05:27:00 PM,17.5,1300 Poplar St,,Chattanooga,Hamilton,12th St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Clear,Yes,No,No,No,35.0436476,-85.312249,POINT (-85.312249 35.0436476),"(35.0436476, -85.312249)",Daylight
18-088427,09/14/2018 07:10:00 PM,19,E Martin Luther King Blvd / University St,,Chattanooga,Hamilton,University St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.043151,-85.30296,POINT (-85.30296 35.043151),"(35.043151, -85.302960)",Daylight
18-089195,09/17/2018 02:30:00 AM,2.5,Gunbarrel Rd,,Chattanooga,Hamilton,Gunbarrel RD,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,,1,Clear,Yes,No,No,No,35.03437,-85.151582,POINT (-85.151582 35.03437),"(35.034370, -85.151582)",Dark - Not Lighted
18-091700,09/24/2018 07:50:00 AM,8,5740 Highway 153,US-5740,Chattanooga,Hamilton,Grubb Road,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,,1,Rain,Yes,No,No,No,35.154473,-85.24818,POINT (-85.24818 35.154473),"(35.154473, -85.248180)",Daylight
18-091946,09/24/2018 08:25:00 PM,20.5,7356 Lee Highway,,Chattanooga,Hamilton,Cedar Creek mobile home park,,Fatal,Not Collision with Motor Vehicle in Transport,Yes,Yes,No,No,45,1,Rain,Yes,No,No,No,35.0814356,-85.263616,POINT (-85.263616 35.0814356),"(35.0814356, -85.263616)",Dark - Lighted
18-092529,09/26/2018 01:00:00 PM,13,600 Mccallie Ave,,Chattanooga,Hamilton,Campus Dr,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,25,1,Rain,Yes,No,No,No,35.045946,-85.301604,POINT (-85.301604 35.045946),"(35.045946, -85.301604)",Daylight
18-093037,09/27/2018 08:17:00 PM,20.5,Bonny Oaks Dr,,Chattanooga,Hamilton,Lee Hwy,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,40,1,Rain,Yes,No,No,No,35.060689,-85.134239,POINT (-85.134239 35.060689),"(35.060689, -85.134239)",Dark - Lighted
18-093780,09/29/2018 09:20:00 PM,21.5,1800 - 1899 Verona Dr,,Chattanooga,Hamilton,7100 Igou Gap,,Suspected Serious Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,30,1,Clear,Yes,No,No,No,35.028365,-85.162189,POINT (-85.162189 35.028365),"(35.028365, -85.162189)",Dark - Lighted
18-095068,10/03/2018 01:57:00 PM,14,2000 Milne St,,Chattanooga,Hamilton,Dodson Ave,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,25,1,Clear,Yes,No,No,No,35.04666,-85.263296,POINT (-85.263296 35.04666),"(35.046660, -85.263296)",Daylight
18-096311,10/06/2018 09:40:00 PM,21.5,200 W 4th St,,Chattanooga,Hamilton,Chestnut St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,25,1,Clear,Yes,No,No,No,35.05227,-85.311782,POINT (-85.311782 35.05227),"(35.052270, -85.311782)",Dark - Lighted
18-097950,10/11/2018 04:55:00 PM,17,490 Greenway View Dr,,Chattanooga,Hamilton,Skurlock Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Clear,Yes,No,No,No,35.008709,-85.205213,POINT (-85.205213 35.008709),"(35.008709, -85.205213)",Daylight
18-098546,10/13/2018 08:18:00 AM,8.5,2700 Broad St,,Chattanooga,Hamilton,W 27th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.025278,-85.317391,POINT (-85.317391 35.025278),"(35.025278, -85.317391)",Daylight
18-101863,10/22/2018 04:48:00 PM,17,Chestnut St,SR-500,Chattanooga,Hamilton,W 5th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,30,1,Clear,Yes,No,No,No,35.050754,-85.311549,POINT (-85.311549 35.050754),"(35.050754, -85.311549)",Daylight
18-102370,10/23/2018 11:30:00 PM,23.5,4800-4849 Hixson Pike,,Chattanooga,Hamilton,Williams St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,Yes,No,40,1,Clear,Yes,No,No,No,35.125416,-85.247475,POINT (-85.247475 35.125416),"(35.125416, -85.247475)",Dark - Not Lighted
18-105785,11/02/2018 06:55:00 PM,19,1816 Gunbarrel Rd,,Chattanooga,Hamilton,Crane Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,15,1,Clear,Yes,No,No,No,35.024501,-85.155628,POINT (-85.155628 35.024501),"(35.024501, -85.155628)",Daylight
18-106817,11/05/2018 09:15:00 PM,21.5,N Willow St,,Chattanooga,Hamilton,McCallie Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Rain,Yes,No,No,No,35.0365468,-85.304093,POINT (-85.304093 35.0365468),"(35.0365468, -85.304093)",Dark - Lighted
18-107943,11/08/2018 07:00:00 PM,19,4408 Highway 58,,Chattanooga,Hamilton,Murray Hills Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,45,1,Rain,Yes,No,No,Yes,35.083619,-85.202,POINT (-85.202 35.083619),"(35.083619, -85.202000)",Dark - Lighted
18-109913,11/14/2018 04:35:00 PM,16.5,3734 St Elmo Ave,,Chattanooga,Hamilton,38th St,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,No,No,35,1,Rain,Yes,No,No,No,35.011461,-85.327661,POINT (-85.327661 35.011461),"(35.011461, -85.327661)",Daylight
18-113881,11/26/2018 07:27:00 PM,19.5,7100 Shallowford Rd,,Chattanooga,Hamilton,Shallowford Village Dr,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.043473,-85.158527,POINT (-85.158527 35.043473),"(35.043473, -85.158527)",Dark - Lighted
18-116929,12/05/2018 02:56:00 PM,15,1413 Bailey Ave,,Chattanooga,Hamilton,S Highland Park Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.035704,-85.282778,POINT (-85.282778 35.035704),"(35.035704, -85.282778)",Daylight
18-118348,12/09/2018 06:34:00 PM,18.5,5704  Highway 153,SR-153,Chattanooga,Hamilton,Carmack Rd,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,45,1,Clear,Yes,No,No,No,35.152798,-85.249638,POINT (-85.249638 35.152798),"(35.152798, -85.249638)",Dark - Not Lighted
18-119061,12/11/2018 08:25:00 PM,20.5,2000 Northpoint Blvd,,Chattanooga,Hamilton,Hixson Pike,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,40,1,Clear,Yes,No,No,No,35.135812,-85.238251,POINT (-85.238251 35.135812),"(35.135812, -85.238251)",Dark - Lighted
18-121505,12/18/2018 02:56:00 PM,15,2400 Wilcox Blvd,,Chattanooga,Hamilton,Wheeler Ave,,Possible Injury,Not Collision with Motor Vehicle in Transport,No,No,Yes,No,35,1,Clear,Yes,No,No,No,35.052089,-85.257494,POINT (-85.257494 35.052089),"(35.052089, -85.257494)",Daylight
19-001434,01/04/2019 06:50:00 PM,19,2700 Rossville Blvd,,Chattanooga,Hamilton,Foust St,,Suspected Minor Injury,Not Collision with Motor Vehicle in Transport,Yes,No,No,No,40,1,Cloudy,Yes,No,No,No,35.106002,-85.348993,POINT (-85.348993 35.106002),"(35.106002, -85.348993)",Dusk
19-002288,01/07/2019 10:48:00 AM,11,3440 Wilcox Blvd,,Chattanooga,Hamilton,Tunnel Blvd,,Fatal,Not Collision with Motor Vehicle in Transport,No,Yes,No,No,15,1,Clear,Yes,No,Yes,No,35.046965,-85.238216,POINT (-85.238216 35.046965),"(35.046965, -85.238216)",Daylight
